Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,student_id,profile_source,Skill_React,Skill_NodeJS,Skill_Python,Skill_MongoDB,Skill_HTML/CSS,Skill_Angular,Skill_Vue,Skill_Express,Skill_Java,Skill_PHP,Skill_FastAPI,Skill_MySQL,Skill_PostgreSQL,Skill_Firebase,Skill_TensorFlow,Skill_Pandas,Religion,LivingCity,Ethnicity_Group
18,94,2,0,1,7,82,2,1,3,2,2,0,0,2,1,0,2,Female,70,SIM-0044,synthetic_simulation,2,1,4,4,2,1,5,5,1,4,3,4,1,4,1,2,Islam,Jaffna,Group A
11,98,2,2,1,9,82,1,1,1,2,2,0,2,3,0,2,0,Non-binary,68,SIM-0045,synthetic_simulation,2,1,5,1,2,4,4,3,4,3,4,4,5,1,1,1,Buddhism,Colombo,Group D
16,70,2,2,1,8,98,2,1,2,2,2,1,2,3,0,1,1,Male,65,SIM-0046,synthetic_simulation,1,2,5,1,2,3,2,5,2,2,1,5,2,1,3,5,Christianity,Negombo,Group D
17,78,2,2,1,6,88,2,1,1,2,0,0,2,3,0,0,2,Female,68,SIM-0047,synthetic_simulation,2,3,2,2,2,2,1,3,5,1,2,1,4,1,3,3,Islam,Negombo,Group D
26,61,2,1,1,6,70,2,1,2,1,2,1,2,3,0,1,1,Non-binary,64,SIM-0048,synthetic_simulation,5,5,4,3,5,4,5,5,4,4,2,3,4,4,5,2,Other,Kandy,Group D
22,86,1,2,1,7,72,1,1,3,1,0,1,2,2,0,1,1,Male,68,SIM-0049,synthetic_simulation,2,4,1,4,3,2,2,1,2,5,1,5,5,4,5,1,Hinduism,Colombo,Group D
9,77,2,2,0,5,57,2,1,2,2,0,1,1,3,0,1,2,Female,63,SIM-0050,synthetic_simulation,4,4,5,3,2,4,5,3,5,5,3,4,2,5,2,4,Other,Colombo,Group D
22,71,1,2,1,7,65,1,1,1,2,1,1,2,4,0,0,1,Non-binary,64,SIM-0051,synthetic_simulation,4,4,3,5,4,2,2,3,2,1,3,4,5,2,2,1,Hinduism,Jaffna,Group D
18,68,0,2,0,7,72,2,1,0,2,2,1,1,3,0,0,2,Male,64,SIM-0052,synthetic_simulation,4,1,4,5,2,5,5,4,1,1,3,1,3,5,1,3,Hinduism,Jaffna,Group D
16,86,1,2,1,8,63,2,1,2,2,2,1,2,4,0,1,2,Male,67,SIM-0053,synthetic_simulation,4,4,4,3,5,2,4,5,5,5,5,3,4,1,2,2,Hinduism,Galle,Group C
24,77,0,1,0,8,96,2,1,0,2,2,1,1,3,0,1,2,Non-binary,67,SIM-0054,synthetic_simulation,5,5,3,2,1,5,5,2,1,1,5,3,4,2,4,3,Other,Jaffna,Group C
26,67,2,0,1,7,51,1,1,2,0,0,0,1,4,1,2,0,Male,66,SIM-0055,synthetic_simulation,3,5,5,2,1,1,5,2,1,5,3,5,3,5,3,5,Buddhism,Negombo,Group A
26,88,2,0,1,5,79,2,1,1,1,0,0,2,4,0,0,1,Female,72,SIM-0056,synthetic_simulation,1,2,3,2,3,2,1,2,5,1,3,1,1,3,5,5,Islam,Negombo,Group C
15,83,2,0,0,5,89,1,0,1,2,0,1,1,2,1,1,2,Male,65,SIM-0057,synthetic_simulation,4,1,2,4,1,1,1,2,4,5,1,2,4,3,2,1,Christianity,Colombo,Group B
18,94,2,2,1,6,87,0,1,1,2,2,1,2,4,0,1,2,Non-binary,71,SIM-0058,synthetic_simulation,2,5,1,5,2,3,1,1,2,2,5,5,5,3,4,4,Buddhism,Kandy,Group D
22,65,0,1,0,8,82,2,1,2,2,0,1,2,1,0,2,2,Female,66,SIM-0059,synthetic_simulation,4,3,1,5,5,5,5,2,5,1,4,3,1,1,2,4,Buddhism,Colombo,Group C
26,91,2,1,1,8,71,2,1,0,1,2,0,1,3,0,1,1,Male,68,SIM-0060,synthetic_simulation,2,1,5,5,3,2,4,4,1,5,3,5,1,2,5,2,Christianity,Kandy,Group B
17,87,2,2,0,7,96,2,1,1,0,2,1,0,5,0,2,2,Male,70,SIM-0061,synthetic_simulation,2,1,3,4,2,1,2,2,2,1,3,5,5,1,2,1,Christianity,Jaffna,Group B
19,65,2,2,1,10,66,1,1,0,1,2,1,2,3,0,1,1,Female,62,SIM-0062,synthetic_simulation,4,5,4,5,1,4,1,4,5,5,3,5,3,3,3,3,Islam,Galle,Group A
13,88,1,0,1,9,88,0,1,2,1,0,0,0,4,0,2,0,Female,68,SIM-0063,synthetic_simulation,5,3,4,3,4,1,3,3,4,5,2,5,1,4,2,1,Buddhism,Galle,Group A
13,78,2,0,1,9,96,0,1,2,1,2,1,1,3,0,0,1,Non-binary,67,SIM-0064,synthetic_simulation,2,2,4,1,2,2,5,5,5,4,5,3,4,1,4,4,Islam,Galle,Group A
25,98,1,0,1,8,56,2,0,0,2,0,0,1,3,0,2,2,Male,71,SIM-0065,synthetic_simulation,2,5,2,4,4,3,4,2,5,1,4,1,2,2,2,3,Buddhism,Jaffna,Group D
28,66,2,0,1,8,97,2,1,0,2,2,1,1,2,0,1,2,Female,68,SIM-0066,synthetic_simulation,4,3,2,1,4,5,4,4,3,2,2,1,1,1,5,3,Christianity,Kandy,Group C
20,86,2,2,1,8,89,2,1,1,1,2,1,0,3,0,2,2,Male,69,SIM-0067,synthetic_simulation,2,1,4,3,3,4,1,4,2,3,2,4,3,2,2,4,Hinduism,Colombo,Group A
26,75,1,0,1,4,81,0,1,3,2,0,0,2,2,0,1,1,Male,70,SIM-0068,synthetic_simulation,2,3,5,2,5,1,1,5,5,3,4,4,5,4,4,2,Islam,Galle,Group C
22,98,2,0,0,5,69,1,0,1,1,0,1,0,4,0,1,1,Male,69,SIM-0069,synthetic_simulation,4,1,2,2,1,2,3,3,1,1,4,2,4,5,2,1,Islam,Colombo,Group D
16,73,2,2,0,7,95,2,1,1,1,2,1,0,4,0,0,2,Non-binary,65,SIM-0070,synthetic_simulation,4,5,2,2,1,2,3,2,1,5,4,1,2,2,1,4,Hinduism,Galle,Group B
22,98,2,1,1,7,52,2,0,3,2,2,1,2,3,0,0,2,Male,70,SIM-0071,synthetic_simulation,1,5,1,4,2,5,1,4,3,5,4,5,1,2,5,1,Buddhism,Kandy,Group C
29,96,2,1,1,7,72,2,1,1,1,2,1,2,3,0,1,1,Non-binary,71,SIM-0072,synthetic_simulation,5,4,1,2,1,4,2,2,1,2,4,4,3,3,1,1,Hinduism,Jaffna,Group D
20,71,2,2,1,7,88,2,1,1,1,1,1,1,4,0,0,2,Male,65,SIM-0073,synthetic_simulation,5,4,5,4,3,1,1,1,5,1,3,5,2,3,1,2,Hinduism,Kandy,Group B
29,92,1,2,0,4,91,2,1,2,2,2,1,0,1,0,2,2,Non-binary,72,SIM-0074,synthetic_simulation,2,4,2,4,1,1,1,4,2,3,4,2,2,4,5,3,Other,Kandy,Group B
4,100,0,0,1,8,60,0,1,0,2,0,0,2,4,0,0,1,Non-binary,69,SIM-0075,synthetic_simulation,5,5,2,1,2,1,4,3,3,2,4,1,4,1,5,4,Buddhism,Negombo,Group A
25,70,2,2,0,7,52,2,1,1,2,2,1,2,3,0,2,2,Male,66,SIM-0076,synthetic_simulation,2,2,3,2,1,5,1,5,3,1,5,3,4,5,4,3,Hinduism,Galle,Group D
21,77,1,2,1,7,90,2,1,4,2,2,0,1,3,0,2,1,Non-binary,68,SIM-0077,synthetic_simulation,1,5,5,5,5,5,1,4,4,1,3,2,1,5,4,5,Hinduism,Kandy,Group A
18,81,0,1,1,8,71,2,1,0,2,2,1,1,3,0,1,1,Non-binary,65,SIM-0078,synthetic_simulation,4,3,5,2,4,4,1,1,4,1,2,3,1,4,4,4,Other,Negombo,Group C
21,72,2,2,1,5,57,2,1,1,0,2,1,1,5,1,0,1,Non-binary,64,SIM-0079,synthetic_simulation,4,5,3,2,4,1,2,5,2,4,3,1,2,5,1,1,Other,Colombo,Group D
8,61,2,2,1,7,54,2,1,1,0,2,1,2,3,0,0,2,Male,60,SIM-0080,synthetic_simulation,4,5,3,2,4,1,4,3,2,2,1,3,3,1,2,4,Other,Kandy,Group A
19,69,2,0,1,7,82,0,1,1,1,2,1,0,2,0,1,2,Female,65,SIM-0081,synthetic_simulation,5,1,1,5,5,4,5,2,3,1,4,1,2,3,3,3,Christianity,Jaffna,Group B
22,71,0,2,0,6,79,0,1,1,1,1,1,2,3,0,1,2,Female,66,SIM-0082,synthetic_simulation,1,1,5,5,3,4,5,2,5,2,2,5,3,4,2,5,Islam,Negombo,Group C
29,78,0,0,1,4,93,1,1,5,2,0,1,1,3,0,0,2,Male,74,SIM-0083,synthetic_simulation,5,1,5,4,2,4,5,4,5,3,1,2,4,5,3,2,Other,Jaffna,Group D
17,67,2,2,1,5,52,0,1,2,2,2,0,0,3,0,1,0,Non-binary,62,SIM-0084,synthetic_simulation,5,5,3,5,5,2,5,5,4,1,2,5,3,4,3,4,Buddhism,Negombo,Group C
15,95,2,2,0,7,93,2,1,2,1,2,1,2,4,0,0,1,Male,70,SIM-0085,synthetic_simulation,1,2,4,4,2,4,4,1,2,5,3,1,3,4,3,2,Christianity,Galle,Group D
17,88,2,0,1,7,94,1,1,0,2,2,1,1,3,0,1,2,Female,69,SIM-0086,synthetic_simulation,1,3,4,1,3,3,1,1,2,1,1,1,4,2,3,5,Islam,Colombo,Group B
25,63,2,0,1,7,72,2,1,3,2,0,0,0,4,0,0,0,Female,67,SIM-0087,synthetic_simulation,1,3,1,4,5,5,5,3,5,1,4,5,5,2,5,3,Christianity,Jaffna,Group A
22,86,1,1,0,6,54,2,1,2,2,2,1,1,0,0,1,1,Non-binary,64,SIM-0088,synthetic_simulation,1,2,4,2,1,4,1,5,4,2,4,5,2,4,4,5,Other,Kandy,Group C
17,86,2,0,0,5,97,0,1,3,0,2,1,1,3,0,0,2,Male,71,SIM-0089,synthetic_simulation,4,2,4,3,3,2,5,5,5,2,1,5,1,2,5,4,Hinduism,Colombo,Group C
23,98,2,1,1,7,54,1,1,0,2,2,1,0,3,0,0,2,Female,68,SIM-0090,synthetic_simulation,3,3,4,3,4,3,2,2,5,4,3,2,3,5,1,1,Hinduism,Colombo,Group D
21,60,0,2,0,7,80,2,1,0,2,0,1,1,4,1,0,2,Male,64,SIM-0091,synthetic_simulation,3,4,2,2,5,2,1,3,3,1,1,2,1,4,5,3,Christianity,Kandy,Group C
26,70,2,1,1,8,75,2,1,1,2,1,0,1,4,1,1,0,Female,63,SIM-0092,synthetic_simulation,1,1,1,4,3,2,4,3,2,3,3,1,1,2,4,4,Islam,Jaffna,Group A
16,97,2,2,1,6,92,1,1,0,0,2,0,2,4,0,0,2,Female,71,SIM-0093,synthetic_simulation,3,1,3,2,3,2,2,3,3,2,2,4,2,5,2,3,Islam,Jaffna,Group C
18,97,0,2,1,4,75,1,1,0,1,2,1,2,3,0,1,1,Female,69,SIM-0094,synthetic_simulation,3,3,4,5,5,2,2,5,3,4,3,5,5,3,4,3,Buddhism,Galle,Group B
18,89,0,2,1,4,73,2,1,3,0,2,0,2,2,0,0,2,Male,100,SIM-0095,synthetic_simulation,1,2,2,4,4,1,4,2,5,5,1,3,5,3,2,4,Other,Negombo,Group A
11,91,2,2,0,6,94,2,1,3,2,2,1,1,3,0,0,1,Male,68,SIM-0096,synthetic_simulation,3,4,4,2,4,5,2,3,4,5,1,3,5,4,1,1,Hinduism,Colombo,Group B
22,64,1,2,0,7,98,1,0,1,2,2,1,0,3,0,1,2,Non-binary,62,SIM-0097,synthetic_simulation,5,3,2,5,3,1,1,2,5,4,2,3,5,1,3,1,Islam,Colombo,Group C
22,81,2,2,1,7,77,1,1,2,2,2,1,2,3,0,2,0,Male,68,SIM-0098,synthetic_simulation,2,1,1,5,2,3,3,3,4,5,1,5,4,5,5,4,Buddhism,Galle,Group A
20,69,0,0,1,6,73,2,1,2,1,2,0,2,3,0,1,0,Male,66,SIM-0099,synthetic_simulation,2,5,4,4,3,1,3,5,2,1,5,4,1,4,3,3,Christianity,Negombo,Group C
19,67,1,2,0,5,92,0,1,0,2,2,1,2,3,0,0,2,Female,64,SIM-0100,synthetic_simulation,1,2,2,1,5,3,5,2,1,2,1,4,1,2,1,3,Buddhism,Negombo,Group D
12,92,2,2,0,4,92,0,1,2,2,0,1,1,3,1,1,1,Non-binary,67,SIM-0101,synthetic_simulation,4,5,5,1,5,4,5,4,2,3,5,2,4,3,1,4,Hinduism,Negombo,Group B
17,65,2,0,1,8,66,2,1,1,0,0,1,1,4,1,2,1,Non-binary,65,SIM-0102,synthetic_simulation,1,3,5,5,5,3,1,3,5,5,1,4,2,2,2,4,Other,Kandy,Group C
18,79,2,2,1,7,79,2,1,0,1,0,0,1,3,0,0,0,Male,65,SIM-0103,synthetic_simulation,4,1,2,1,4,1,4,5,4,1,1,3,3,5,2,5,Buddhism,Galle,Group A
15,98,0,2,0,6,58,0,1,0,1,0,1,2,3,0,0,2,Male,69,SIM-0104,synthetic_simulation,2,4,4,5,1,1,1,2,1,2,2,3,5,4,1,1,Christianity,Kandy,Group C
19,67,2,2,0,5,82,0,1,1,1,1,0,0,3,0,1,2,Male,63,SIM-0105,synthetic_simulation,1,5,4,1,5,3,5,1,4,1,5,5,5,3,4,3,Buddhism,Negombo,Group B
22,99,2,1,1,6,92,1,1,3,2,2,1,0,4,0,2,1,Male,72,SIM-0106,synthetic_simulation,5,4,1,5,5,1,2,5,4,1,2,2,4,5,3,3,Christianity,Kandy,Group A
31,100,2,2,0,7,59,2,1,2,0,0,1,2,5,0,2,1,Male,76,SIM-0107,synthetic_simulation,3,1,1,5,2,3,1,5,1,2,5,1,5,3,5,3,Buddhism,Colombo,Group A
21,82,2,0,1,7,66,0,1,3,1,2,1,2,3,1,0,2,Non-binary,69,SIM-0108,synthetic_simulation,4,5,3,5,2,2,1,1,1,5,5,2,4,3,1,3,Hinduism,Kandy,Group A
22,67,2,2,1,7,72,0,1,3,1,0,1,2,2,0,2,1,Non-binary,67,SIM-0109,synthetic_simulation,3,4,1,5,3,5,4,1,2,5,4,1,3,4,5,4,Islam,Kandy,Group C
20,73,0,2,1,9,92,2,1,2,2,0,1,2,3,0,0,2,Non-binary,69,SIM-0110,synthetic_simulation,3,4,4,3,3,3,5,4,3,1,5,2,1,4,1,1,Other,Jaffna,Group D
8,77,0,2,1,6,87,2,1,0,1,2,1,1,2,0,1,1,Female,63,SIM-0111,synthetic_simulation,1,5,3,1,3,2,1,4,1,4,2,4,5,1,2,5,Christianity,Galle,Group B
20,72,2,2,0,9,66,2,1,3,1,0,0,2,3,0,2,2,Female,67,SIM-0112,synthetic_simulation,3,1,1,5,5,2,2,4,3,5,2,2,2,1,2,4,Hinduism,Negombo,Group C
20,71,1,0,1,7,62,0,1,2,2,2,1,0,5,0,0,2,Male,66,SIM-0113,synthetic_simulation,5,4,2,2,2,2,2,5,3,1,3,5,4,1,1,3,Christianity,Galle,Group D
35,99,0,0,1,7,85,1,1,2,2,0,0,1,2,0,2,2,Female,79,SIM-0114,synthetic_simulation,3,3,5,4,3,2,3,5,3,3,1,1,3,1,5,1,Islam,Colombo,Group A
19,66,2,2,0,8,74,2,1,1,0,2,1,1,3,0,1,2,Non-binary,64,SIM-0115,synthetic_simulation,1,5,1,2,2,3,5,5,3,3,4,4,2,2,3,1,Christianity,Negombo,Group A
22,89,0,0,1,6,80,2,1,1,0,0,1,2,3,0,1,2,Male,73,SIM-0116,synthetic_simulation,5,2,1,2,5,1,2,4,1,4,1,4,1,1,1,2,Islam,Colombo,Group C
20,60,1,0,0,7,82,0,1,2,1,0,1,2,4,1,1,2,Female,63,SIM-0117,synthetic_simulation,2,2,2,3,5,2,4,2,4,1,2,2,2,2,1,4,Islam,Kandy,Group B
13,84,2,2,0,5,78,2,1,1,1,0,1,2,2,0,1,2,Non-binary,65,SIM-0118,synthetic_simulation,3,1,4,1,3,4,5,5,1,3,4,4,4,3,4,1,Christianity,Jaffna,Group B
27,97,1,0,1,8,81,2,1,0,0,2,1,2,5,0,1,2,Male,73,SIM-0119,synthetic_simulation,1,3,2,3,5,2,2,5,1,5,5,3,5,2,1,4,Hinduism,Negombo,Group D
25,72,0,0,1,8,94,1,1,2,1,2,0,2,4,0,0,1,Male,70,SIM-0120,synthetic_simulation,2,4,1,1,5,1,1,5,5,1,2,3,1,3,2,1,Buddhism,Colombo,Group D
25,67,0,2,0,9,93,0,1,2,1,0,1,2,3,1,1,2,Non-binary,68,SIM-0121,synthetic_simulation,2,2,4,5,2,1,5,4,5,4,2,3,4,1,4,1,Hinduism,Kandy,Group A
15,86,2,2,1,7,57,2,1,1,2,2,1,0,3,0,0,2,Non-binary,65,SIM-0122,synthetic_simulation,4,1,3,3,1,5,2,3,2,4,2,2,3,2,4,5,Hinduism,Negombo,Group B
28,89,1,0,1,9,79,0,1,0,1,2,0,2,1,0,0,1,Female,71,SIM-0123,synthetic_simulation,5,3,1,4,4,5,1,4,3,5,2,1,2,3,2,2,Hinduism,Negombo,Group C
12,88,1,2,0,6,72,1,1,2,2,2,1,2,2,0,0,0,Non-binary,64,SIM-0124,synthetic_simulation,3,3,2,1,3,2,3,3,3,3,4,2,2,1,2,4,Christianity,Galle,Group D
24,73,2,0,1,8,64,2,1,4,0,2,0,1,3,1,0,1,Non-binary,68,SIM-0125,synthetic_simulation,1,1,3,3,1,2,5,4,5,3,1,5,1,3,2,3,Buddhism,Negombo,Group D
33,70,2,2,1,6,82,1,1,1,1,0,1,1,4,0,0,2,Non-binary,69,SIM-0126,synthetic_simulation,4,1,5,4,3,5,5,2,4,4,1,4,1,4,5,5,Buddhism,Colombo,Group A
14,98,2,2,0,7,76,2,1,0,2,0,0,2,4,0,0,1,Male,69,SIM-0127,synthetic_simulation,5,4,3,2,1,2,2,2,2,2,5,3,3,3,4,3,Islam,Jaffna,Group D
17,97,2,2,0,8,89,2,1,1,1,2,1,1,4,0,1,0,Non-binary,69,SIM-0128,synthetic_simulation,4,1,2,5,5,4,3,5,4,4,2,2,3,1,3,5,Buddhism,Negombo,Group C
