project_id,team_id,total_commits,weekly_commits,inactive_days,overdue_tasks,bug_count,high_priority_bugs,task_completion_rate,code_quality_score,collaboration_score,overall_ci_score,progress_percentage,delay_count,risk_status
LR0384,T045,357,31,2,0,7,0,98,97,96,84,83,1,Low Risk
P0150,T093,233,23,0,2,32,9,97,76,26,91,97,0,Low Risk
P0870,T080,387,56,7,11,19,1,52,63,44,67,40,9,High Risk
P1979,T016,480,4,13,3,10,1,31,67,56,76,12,9,High Risk
LR0457,T064,335,34,0,1,7,0,89,82,98,81,94,1,Low Risk
MR0866,T001,112,15,9,5,18,3,75,80,67,57,76,3,Medium Risk
LR0213,T043,457,45,0,1,0,0,99,80,98,87,98,1,Low Risk
P1007,T044,468,9,16,7,13,10,89,74,39,90,79,0,High Risk
MR0048,T035,115,15,9,4,9,4,69,61,80,70,83,2,Medium Risk
P0706,T003,447,52,1,11,30,1,41,61,61,43,40,9,High Risk
MR0144,T071,187,10,9,2,16,4,63,78,51,51,63,2,Medium Risk
MR0597,T032,171,22,10,4,14,3,74,74,74,76,82,1,Medium Risk
P1988,T001,191,18,11,14,34,4,69,41,57,25,93,9,High Risk
P0180,T067,435,21,21,3,34,7,81,34,70,60,27,9,High Risk
P0110,T063,425,30,5,11,29,0,52,76,84,84,51,9,High Risk
MR0079,T017,148,8,7,4,14,2,64,75,80,73,52,1,Medium Risk
P1056,T015,275,18,22,12,4,1,63,97,57,87,26,10,High Risk
MR0953,T090,180,23,10,4,5,1,80,68,52,54,55,1,Medium Risk
P0315,T043,456,17,19,13,26,1,48,61,77,58,72,5,High Risk
P1823,T059,95,39,0,13,20,0,36,69,21,44,95,1,Medium Risk
P0568,T016,26,30,13,9,23,2,77,54,48,94,32,5,High Risk
P0880,T041,83,16,23,5,38,0,62,30,94,20,70,2,High Risk
LR0231,T010,433,54,0,0,3,1,87,96,91,97,86,0,Low Risk
P1412,T072,312,6,16,0,32,9,89,99,80,65,12,10,High Risk
MR0225,T040,228,20,10,2,19,1,74,58,74,63,68,4,Medium Risk
MR0937,T090,233,12,5,2,8,1,69,68,70,58,77,4,Medium Risk
MR0250,T089,125,11,9,5,16,4,63,65,71,67,75,2,Medium Risk
P0930,T064,278,31,1,13,33,4,28,59,87,53,10,2,High Risk
LR0579,T075,485,56,2,1,6,0,87,97,89,88,98,0,Low Risk
MR0380,T081,177,24,6,5,6,1,71,77,57,63,78,4,Medium Risk
LR0293,T080,493,39,3,0,5,1,95,91,87,89,81,0,Low Risk
P1503,T080,297,17,11,4,14,9,64,51,57,25,95,7,High Risk
MR0783,T002,234,11,6,4,7,3,73,72,57,63,74,3,Medium Risk
P0606,T057,326,13,24,1,14,0,38,49,40,24,52,5,High Risk
P1989,T065,32,55,17,5,35,3,50,39,54,78,97,6,High Risk
P0015,T049,442,42,5,1,10,10,65,34,64,47,14,0,Medium Risk
P1262,T046,425,42,23,10,23,4,56,50,64,49,35,4,High Risk
MR0239,T041,239,8,10,2,15,3,69,69,53,61,80,2,Medium Risk
MR0319,T089,239,21,10,4,6,1,79,58,64,54,54,1,Medium Risk
P0009,T082,18,41,17,12,5,10,28,46,24,21,100,7,High Risk
P0890,T017,74,60,16,9,35,0,72,33,97,50,60,6,High Risk
MR0149,T006,168,20,9,3,11,4,70,59,70,70,61,3,Medium Risk
MR0552,T046,208,15,9,2,18,3,69,75,68,61,83,1,Medium Risk
P1445,T097,299,22,13,10,11,10,99,36,94,55,17,7,High Risk
P0394,T047,322,51,20,0,18,4,53,68,95,70,39,1,Medium Risk
P1583,T081,493,26,21,1,9,1,24,41,44,26,24,4,High Risk
LR0859,T067,363,35,1,1,5,1,92,100,89,95,97,0,Low Risk
P0539,T081,56,7,0,3,8,7,22,80,31,73,73,1,Medium Risk
P1488,T023,369,28,9,0,13,3,76,98,26,42,73,8,Medium Risk
P0808,T008,433,56,4,9,5,3,46,60,81,61,12,5,High Risk
MR0415,T069,88,22,9,5,7,1,74,69,65,60,68,3,Medium Risk
P0799,T097,472,51,11,1,20,4,55,74,96,71,31,0,Low Risk
MR0540,T099,148,13,9,3,16,4,62,62,73,78,72,4,Medium Risk
P1816,T098,349,6,2,13,40,5,54,100,87,86,78,3,High Risk
LR0330,T049,330,53,0,0,3,1,99,95,82,94,86,1,Low Risk
LR0648,T095,461,58,0,0,3,0,97,88,95,99,82,1,Low Risk
P1425,T012,20,46,9,7,37,3,30,76,76,71,37,8,High Risk
LR0360,T037,209,60,0,1,5,1,91,96,84,87,86,0,Low Risk
MR0322,T060,228,20,5,3,18,3,70,73,74,69,64,2,Medium Risk
P0788,T082,33,47,5,9,35,0,91,57,75,67,16,9,High Risk
P1993,T071,184,48,25,8,16,10,78,75,96,77,56,6,High Risk
P1117,T032,358,8,16,13,14,3,42,60,67,94,15,10,High Risk
P1321,T019,342,34,22,15,25,4,46,48,100,47,57,7,High Risk
MR0657,T021,153,8,9,2,13,2,60,57,51,73,55,3,Medium Risk
P1553,T037,321,4,16,4,22,4,97,78,100,21,41,5,High Risk
P0033,T081,427,20,13,13,33,0,20,95,70,93,88,5,High Risk
P0464,T068,230,50,12,7,17,8,68,44,60,31,66,8,High Risk
LR0516,T089,301,44,1,0,2,1,93,97,97,88,91,0,Low Risk
LR0296,T075,288,59,3,1,6,0,85,96,96,85,99,0,Low Risk
P0167,T044,101,39,4,3,37,2,33,43,54,30,83,6,Medium Risk
LR0863,T016,428,40,0,1,4,1,96,85,82,89,85,1,Low Risk
P0415,T063,400,53,6,13,16,1,81,41,68,52,34,8,High Risk
P0034,T017,288,60,21,11,4,6,24,61,99,75,69,9,High Risk
P0185,T069,439,45,25,15,20,1,96,47,28,99,51,6,High Risk
MR0023,T028,204,24,8,3,10,4,56,56,59,73,62,2,Medium Risk
MR0241,T019,198,11,4,4,13,1,60,63,55,71,51,2,Medium Risk
MR0302,T040,219,19,4,2,14,3,56,60,60,58,71,4,Medium Risk
P1953,T010,193,41,3,15,7,6,73,99,49,67,46,9,High Risk
MR0750,T086,124,9,5,2,5,3,74,67,57,54,51,4,Medium Risk
P1622,T099,46,10,20,2,10,1,24,41,90,20,58,9,High Risk
P1243,T091,55,2,24,12,39,5,63,60,58,53,74,0,High Risk
MR0550,T052,141,12,4,4,8,3,61,61,63,60,75,3,Medium Risk
P0722,T098,46,52,18,15,15,5,81,48,50,39,77,5,High Risk
P1175,T015,216,57,7,3,12,7,84,93,70,83,11,1,Medium Risk
P0671,T096,90,53,10,10,34,4,38,31,83,22,73,10,High Risk
MR0332,T055,239,21,7,4,15,1,62,79,76,55,60,3,Medium Risk
P1747,T027,372,23,8,3,20,4,54,92,61,60,95,8,High Risk
LR0425,T092,240,32,0,0,5,1,94,86,83,97,86,1,Low Risk
P1557,T063,370,52,12,4,35,0,82,41,71,74,90,1,Low Risk
LR0867,T047,234,56,1,0,3,1,92,93,91,99,93,0,Low Risk
MR0537,T007,219,16,9,3,12,3,75,64,55,58,65,2,Medium Risk
LR0585,T090,424,25,3,0,8,1,93,98,84,84,85,0,Low Risk
P1745,T064,36,22,23,6,33,4,89,92,45,80,54,2,High Risk
MR0868,T029,169,9,5,5,19,2,60,71,73,63,67,4,Medium Risk
P0719,T096,445,22,19,7,9,4,87,30,63,33,39,10,High Risk
P1371,T065,313,14,4,5,9,2,41,63,70,87,87,3,Low Risk
LR0980,T019,233,27,1,0,0,1,99,86,90,84,97,1,Low Risk
MR0931,T036,110,12,7,5,11,4,59,57,77,64,63,2,Medium Risk
LR0021,T073,469,51,3,1,3,1,96,88,90,98,91,1,Low Risk
LR0611,T088,370,60,1,1,1,0,98,96,91,98,87,0,Low Risk
P1627,T084,352,34,12,10,23,2,37,50,67,97,95,5,High Risk
LR0426,T054,448,28,2,0,0,1,87,96,83,92,87,0,Low Risk
MR0054,T008,166,21,6,5,14,2,61,78,67,66,55,3,Medium Risk
MR0008,T094,94,13,7,4,12,3,74,69,69,75,68,4,Medium Risk
P0600,T096,142,14,0,10,30,10,72,63,97,87,70,2,High Risk
P1748,T063,470,21,5,4,0,6,85,41,42,45,37,9,High Risk
LR0352,T084,485,36,1,1,2,0,87,90,98,90,88,0,Low Risk
P1430,T037,318,49,23,5,2,2,75,56,85,34,40,3,High Risk
P1115,T044,286,32,4,1,1,3,73,36,45,80,55,0,Low Risk
P0643,T019,223,33,1,3,3,10,20,91,44,86,37,2,Medium Risk
P0403,T008,445,59,7,4,32,3,29,89,40,91,71,10,High Risk
P0491,T013,204,32,7,11,34,6,99,52,81,78,80,3,High Risk
LR0500,T051,448,57,3,0,6,1,100,81,91,88,88,0,Low Risk
P1004,T098,234,12,4,1,19,10,59,37,92,71,57,1,Medium Risk
LR0115,T088,500,59,3,1,0,1,88,96,87,81,87,0,Low Risk
MR0485,T054,174,19,5,4,19,4,63,78,78,57,79,2,Medium Risk
P1879,T027,441,58,25,15,25,8,97,98,84,34,43,0,High Risk
LR0474,T090,201,28,2,0,0,1,97,96,100,96,88,0,Low Risk
P0271,T075,283,43,18,10,26,8,51,70,54,64,87,9,High Risk
LR0342,T096,327,52,0,0,7,1,100,84,80,90,85,0,Low Risk
MR0059,T033,84,11,7,4,20,2,69,62,76,57,83,2,Medium Risk
MR0199,T033,164,25,4,5,17,4,61,66,79,60,69,1,Medium Risk
P1045,T005,192,27,23,13,8,8,34,95,75,79,91,6,High Risk
MR0498,T051,144,24,9,4,13,4,70,57,53,68,65,3,Medium Risk
LR0794,T063,384,53,0,0,0,1,92,83,86,87,95,0,Low Risk
LR0393,T098,323,30,0,1,1,0,92,80,83,93,86,1,Low Risk
MR0471,T007,152,11,6,5,17,3,73,57,77,62,79,2,Medium Risk
MR0838,T039,186,10,8,4,10,3,78,76,69,62,69,2,Medium Risk
LR0359,T094,396,20,0,1,0,1,88,80,96,86,93,0,Low Risk
LR0335,T006,443,23,2,0,7,1,95,85,85,90,95,0,Low Risk
P0018,T047,397,49,9,1,9,7,32,48,99,58,47,4,Medium Risk
MR0655,T051,103,23,10,4,5,4,78,79,79,56,56,2,Medium Risk
P1211,T083,111,1,3,8,26,2,65,62,23,23,13,8,High Risk
LR0118,T030,389,25,0,1,5,1,86,98,84,90,86,1,Low Risk
P0230,T026,398,18,6,12,21,1,37,74,36,81,94,2,Medium Risk
P1118,T069,424,5,18,13,12,8,68,59,50,27,51,7,High Risk
P1293,T071,474,22,6,12,30,5,73,42,96,51,46,7,High Risk
P0496,T067,243,11,16,12,4,0,33,52,77,44,100,1,High Risk
MR0545,T072,84,18,4,4,13,4,79,61,74,55,71,3,Medium Risk
P0462,T084,442,2,23,1,25,8,86,76,33,95,78,2,High Risk
LR0904,T008,330,25,1,0,2,0,88,86,92,84,82,1,Low Risk
P1564,T046,191,12,16,1,25,5,56,88,89,53,77,5,High Risk
LR0554,T078,414,52,0,1,7,0,86,82,81,96,97,1,Low Risk
P0319,T061,88,52,19,3,30,8,77,94,45,37,49,2,High Risk
LR0454,T095,386,43,3,1,8,0,96,93,94,88,93,1,Low Risk
MR0266,T096,157,23,5,5,20,4,57,63,66,66,60,4,Medium Risk
LR0453,T081,246,37,3,1,0,0,91,85,88,91,89,0,Low Risk
P1492,T015,250,51,14,7,5,7,70,56,21,24,43,6,High Risk
MR0573,T057,182,15,4,5,8,1,63,78,68,60,63,3,Medium Risk
P1290,T046,252,43,21,8,16,0,79,43,40,56,96,3,High Risk
MR0323,T023,178,22,9,2,10,1,63,57,79,72,70,2,Medium Risk
MR0519,T069,189,15,4,3,13,2,58,66,73,73,73,1,Medium Risk
MR0394,T070,174,21,4,5,8,3,70,56,66,57,62,4,Medium Risk
LR0234,T021,380,27,3,1,5,0,98,80,91,84,100,1,Low Risk
P0658,T061,138,26,5,8,8,6,90,69,25,68,81,4,High Risk
P1057,T036,192,56,0,5,24,10,49,53,44,35,72,4,High Risk
LR0120,T084,222,25,0,1,5,0,88,92,80,93,85,0,Low Risk
MR0195,T016,250,14,7,2,12,1,61,74,56,57,62,1,Medium Risk
MR0895,T056,242,18,8,4,8,3,55,68,67,70,85,3,Medium Risk
P1663,T031,496,22,19,14,38,3,68,51,44,40,62,10,High Risk
P1331,T094,414,14,3,3,30,7,89,45,96,69,68,4,Medium Risk
P1179,T037,451,44,7,9,9,6,56,61,62,51,34,2,High Risk
MR0721,T006,89,20,10,3,7,3,58,69,58,61,74,2,Medium Risk
LR0158,T006,474,43,3,0,1,1,95,82,84,85,92,1,Low Risk
P0299,T048,79,32,24,13,36,0,39,32,67,99,71,4,High Risk
P0094,T093,406,60,2,4,32,3,40,59,36,46,78,7,Medium Risk
LR0405,T068,377,60,1,0,7,1,91,98,97,93,94,1,Low Risk
MR0549,T005,198,15,7,4,5,1,67,71,72,80,52,1,Medium Risk
P1576,T061,467,39,6,12,22,1,79,70,85,58,19,8,High Risk
MR0746,T093,116,9,5,4,9,3,63,74,73,76,62,1,Medium Risk
LR0887,T044,321,59,2,0,7,1,87,95,89,98,94,0,Low Risk
P1794,T093,77,36,18,0,34,8,35,96,32,77,65,4,High Risk
P0024,T098,365,17,9,2,12,3,67,79,71,26,86,0,Low Risk
MR0351,T029,83,19,8,4,16,3,70,71,80,50,84,3,Medium Risk
MR0624,T022,110,16,7,3,17,4,77,59,80,60,51,2,Medium Risk
P1732,T042,387,5,21,4,34,4,95,74,50,94,50,9,High Risk
P1085,T072,249,9,24,1,4,2,38,62,88,69,91,2,Medium Risk
MR0992,T032,224,12,6,4,17,3,74,60,66,64,62,2,Medium Risk
LR0666,T023,255,27,3,1,4,1,91,85,81,81,81,0,Low Risk
LR0379,T016,373,57,2,0,0,1,100,97,90,83,84,1,Low Risk
P1273,T051,283,55,2,3,35,6,73,60,86,24,91,10,High Risk
P0306,T009,195,40,3,10,29,10,36,98,39,65,57,10,High Risk
LR0903,T083,312,54,0,0,4,1,88,84,85,80,97,1,Low Risk
LR0762,T093,214,39,3,0,7,1,95,93,98,90,82,0,Low Risk
P0599,T052,442,13,18,7,19,0,79,73,93,90,47,1,Medium Risk
MR0880,T090,216,20,4,4,9,3,67,57,78,59,73,2,Medium Risk
P0872,T047,447,58,13,2,30,9,40,66,100,85,63,9,High Risk
LR0546,T049,225,41,2,0,5,1,100,93,100,81,88,0,Low Risk
LR0122,T005,354,51,0,0,5,1,95,86,83,91,87,1,Low Risk
P1361,T045,429,49,8,0,37,9,20,33,29,85,100,1,Medium Risk
P1937,T056,226,1,15,3,22,10,97,75,45,62,93,6,High Risk
LR0759,T027,316,29,1,0,0,1,85,94,84,98,99,1,Low Risk
MR0645,T025,213,13,7,3,6,4,65,75,72,63,50,4,Medium Risk
P1540,T059,193,33,22,14,30,8,68,58,38,84,100,4,High Risk
LR0211,T035,404,36,1,0,8,1,92,96,85,92,94,0,Low Risk
P1053,T096,484,19,22,3,10,10,52,63,92,94,76,3,High Risk
P1567,T083,136,46,12,10,40,6,90,43,47,56,26,7,High Risk
MR0247,T036,175,25,10,4,20,3,78,58,61,78,53,2,Medium Risk
P1927,T021,88,51,12,14,2,6,57,85,94,20,20,6,High Risk
LR0024,T009,234,44,0,0,3,0,96,80,94,82,92,0,Low Risk
P0409,T089,108,15,14,11,12,5,31,63,79,71,99,8,High Risk
P0100,T045,275,59,2,15,13,0,89,46,23,41,79,4,High Risk
P1212,T092,124,40,22,0,26,7,85,38,22,78,33,8,High Risk
P1433,T024,491,51,18,5,32,7,51,72,52,25,52,5,High Risk
P0316,T033,333,7,6,7,3,8,29,35,27,67,54,7,High Risk
P1174,T076,122,8,0,2,6,1,70,60,28,98,69,5,Low Risk
P1236,T025,276,47,1,8,10,2,22,80,48,95,70,1,Low Risk
MR0160,T079,242,23,8,5,19,4,77,74,50,75,82,4,Medium Risk
LR0733,T032,255,40,2,1,8,0,85,85,96,91,87,0,Low Risk
MR0973,T034,221,25,4,5,10,2,58,56,56,63,69,3,Medium Risk
MR0641,T054,138,22,9,2,11,2,59,68,53,72,79,3,Medium Risk
P0752,T021,346,27,9,2,3,3,40,43,76,37,26,8,High Risk
MR0116,T094,170,13,7,3,9,2,63,71,53,79,66,3,Medium Risk
P0157,T081,45,15,8,4,17,10,79,31,61,30,97,2,High Risk
LR0562,T005,412,30,3,1,4,1,85,81,85,89,89,1,Low Risk
P0121,T080,427,51,4,5,5,4,52,81,79,67,95,5,Medium Risk
P1455,T087,465,19,23,6,27,2,65,67,45,20,31,6,High Risk
P0512,T046,378,4,19,6,18,0,98,63,94,100,64,2,Medium Risk
P1518,T069,56,9,9,11,34,1,54,58,69,92,33,10,High Risk
MR0505,T062,162,12,9,5,9,1,67,73,51,79,74,2,Medium Risk
LR0017,T054,399,53,2,0,7,0,88,84,98,85,95,1,Low Risk
MR0441,T058,85,13,10,3,20,1,73,67,69,75,79,1,Medium Risk
LR0847,T089,346,24,0,1,8,0,100,80,81,89,91,0,Low Risk
P1603,T066,307,52,5,2,27,4,32,66,71,61,87,4,Medium Risk
MR0779,T087,147,24,6,2,9,2,67,80,60,65,66,1,Medium Risk
MR0804,T084,191,23,7,4,9,1,73,78,70,60,57,2,Medium Risk
P0677,T076,202,7,23,12,33,5,93,65,50,41,80,5,High Risk
P0241,T031,45,15,16,14,36,4,100,98,36,87,85,3,High Risk
P1024,T078,435,36,4,13,25,1,76,45,66,57,63,5,High Risk
LR0217,T057,200,53,1,0,7,1,88,89,89,97,80,0,Low Risk
P1512,T079,64,36,15,4,25,8,44,78,69,73,35,2,High Risk
LR0814,T075,444,32,1,0,5,1,85,89,86,92,99,1,Low Risk
MR0226,T061,82,12,9,5,9,4,61,60,55,52,78,1,Medium Risk
MR0800,T081,142,24,9,4,7,1,80,65,55,63,70,4,Medium Risk
MR0764,T096,92,21,7,4,18,1,65,80,50,70,69,2,Medium Risk
LR0883,T001,374,52,2,1,6,0,95,85,95,98,93,0,Low Risk
P0487,T065,432,3,21,4,24,6,98,69,40,59,97,8,High Risk
MR0362,T043,194,18,10,3,8,3,69,74,50,73,67,3,Medium Risk
P1874,T030,493,6,16,7,32,7,40,40,64,87,59,1,High Risk
LR0462,T010,355,37,1,1,5,0,89,94,80,97,84,1,Low Risk
LR0438,T044,379,52,1,1,4,0,93,95,86,89,80,1,Low Risk
P0355,T063,248,28,3,8,1,9,48,63,46,67,31,9,High Risk
P1018,T004,430,7,8,3,3,8,88,75,92,52,74,7,High Risk
MR0664,T076,130,15,10,4,14,4,74,62,80,78,83,3,Medium Risk
P1742,T059,219,9,13,15,17,0,64,74,62,60,42,6,High Risk
LR0331,T017,362,20,3,0,4,1,94,89,99,93,93,0,Low Risk
LR0404,T093,207,33,2,0,4,1,87,98,100,99,100,1,Low Risk
P1221,T015,179,19,1,11,31,9,69,95,82,59,49,10,High Risk
P0052,T084,104,54,14,11,29,0,88,70,77,68,18,8,High Risk
LR0723,T046,293,31,3,0,3,0,98,91,81,84,89,1,Low Risk
P1721,T002,346,2,11,7,36,0,76,93,56,84,94,0,Low Risk
P0074,T088,212,4,10,0,15,9,90,83,77,59,39,6,High Risk
P1689,T016,418,56,18,6,39,8,38,52,51,29,36,6,High Risk
LR0586,T031,377,30,0,1,8,1,94,94,87,97,83,1,Low Risk
P0439,T016,489,14,3,10,31,8,86,51,54,58,61,8,High Risk
P1475,T059,307,58,4,0,35,6,59,68,100,30,26,4,Medium Risk
LR0761,T045,217,28,0,0,2,0,100,89,84,84,84,1,Low Risk
P0803,T058,393,6,15,6,16,10,34,81,94,21,38,1,High Risk
P0466,T077,263,37,10,5,11,6,74,99,70,48,93,2,Medium Risk
MR0085,T031,144,22,7,3,7,2,74,79,63,54,52,1,Medium Risk
P1065,T054,22,14,21,12,9,0,29,61,26,92,84,9,High Risk
MR0911,T031,159,19,10,4,9,4,65,64,54,73,70,2,Medium Risk
P0158,T031,228,45,0,14,37,3,30,47,54,89,31,6,High Risk
LR0004,T080,370,46,3,1,0,0,90,95,85,84,96,1,Low Risk
P1654,T076,179,42,18,2,19,10,33,89,50,28,51,7,High Risk
P0053,T063,175,13,10,9,8,9,34,44,23,91,84,4,High Risk
P1345,T013,304,59,6,0,13,1,40,32,56,60,71,9,Medium Risk
P0221,T002,456,5,22,8,36,1,95,31,80,23,49,10,High Risk
P0565,T089,385,7,23,2,26,5,45,58,65,89,16,0,Medium Risk
P0027,T015,356,18,12,7,15,0,20,47,87,93,26,4,Medium Risk
P1584,T097,429,22,1,13,31,0,84,79,79,31,90,2,Medium Risk
LR0015,T094,442,36,1,1,1,0,98,88,81,89,82,1,Low Risk
P0215,T042,208,10,1,3,17,2,73,51,29,29,87,5,Low Risk
LR0058,T058,481,29,1,1,0,0,98,92,98,81,98,0,Low Risk
P0938,T005,146,20,7,11,21,8,31,54,59,87,63,8,High Risk
P0552,T083,76,32,4,9,27,7,90,76,80,59,26,5,High Risk
MR0027,T007,180,23,8,2,5,3,76,68,65,79,85,2,Medium Risk
LR0587,T088,299,44,0,1,5,0,93,95,82,85,93,1,Low Risk
P0326,T006,401,21,0,4,33,10,80,72,53,48,50,9,High Risk
MR0271,T037,106,9,8,2,5,1,56,80,78,78,65,1,Medium Risk
MR0976,T055,138,11,9,4,15,4,56,68,70,68,64,3,Medium Risk
P1671,T063,17,8,19,14,38,3,97,34,63,33,41,6,High Risk
P0830,T045,38,21,6,2,26,10,83,87,25,20,77,2,Medium Risk
MR0117,T100,231,18,5,4,6,4,77,60,69,69,57,2,Medium Risk
P0753,T067,160,22,20,2,18,8,63,96,43,62,97,8,High Risk
MR0703,T019,175,9,10,4,17,1,55,57,70,62,69,4,Medium Risk
MR0238,T002,179,9,4,3,5,2,57,77,59,74,79,3,Medium Risk
LR0477,T021,299,59,3,0,4,1,89,82,100,84,91,1,Low Risk
P0045,T083,470,6,19,6,34,5,78,77,91,80,41,3,High Risk
MR0988,T059,188,19,7,3,20,2,79,61,75,54,62,3,Medium Risk
P1554,T002,33,36,11,15,4,8,94,31,28,68,88,9,High Risk
P0502,T019,311,4,19,9,21,9,84,92,32,21,47,3,High Risk
LR0399,T001,423,52,2,0,0,0,86,89,81,89,91,0,Low Risk
P0977,T088,391,57,19,13,1,5,82,96,39,50,29,5,High Risk
LR0528,T062,246,30,2,0,5,0,99,89,92,99,89,1,Low Risk
P1193,T084,443,54,9,7,5,5,88,87,68,43,97,9,High Risk
P0811,T051,348,60,7,2,34,7,87,89,88,60,25,2,Medium Risk
P1000,T063,478,53,7,6,1,5,75,30,79,80,77,4,Medium Risk
P0569,T087,419,34,3,0,8,9,53,68,97,92,97,7,Medium Risk
LR0793,T032,326,50,3,0,2,1,85,98,95,85,88,1,Low Risk
MR0809,T042,137,25,4,2,8,4,78,74,73,60,65,1,Medium Risk
LR0032,T006,227,37,1,1,2,0,94,86,87,83,90,0,Low Risk
P0367,T027,153,4,10,14,10,3,47,87,62,78,71,8,High Risk
P0458,T100,301,42,8,13,18,7,70,43,22,79,28,2,High Risk
P0257,T037,33,37,5,8,3,5,43,82,90,86,78,3,Medium Risk
LR0187,T042,257,40,2,0,8,0,88,90,94,90,83,0,Low Risk
LR0271,T080,271,50,1,1,1,0,96,100,100,83,99,0,Low Risk
P1477,T052,121,34,12,14,7,5,53,67,39,24,90,10,High Risk
P0577,T074,238,45,17,2,16,3,35,52,93,21,70,7,High Risk
LR0340,T080,429,21,2,0,7,0,96,99,80,98,81,0,Low Risk
LR0141,T036,360,24,3,0,5,0,89,81,87,83,92,0,Low Risk
LR0283,T096,499,51,2,1,7,0,98,86,80,87,91,0,Low Risk
MR0737,T001,233,11,10,3,9,4,69,71,80,53,63,3,Medium Risk
P1765,T074,41,3,23,13,19,2,25,35,36,26,16,9,High Risk
LR0305,T041,277,54,1,0,6,0,98,95,88,97,84,1,Low Risk
LR0894,T058,250,42,0,0,6,1,93,99,85,93,95,0,Low Risk
P0292,T050,396,56,16,5,15,1,26,72,68,59,39,8,High Risk
P0730,T036,477,12,12,12,39,4,80,60,88,85,96,2,High Risk
P1614,T029,194,34,7,4,39,9,79,88,30,44,66,1,Medium Risk
P0135,T082,365,30,15,2,26,1,43,32,45,28,74,5,Medium Risk
P1511,T007,56,17,5,9,1,6,55,67,41,39,92,5,High Risk
MR0222,T011,211,21,5,4,9,1,79,57,62,79,60,4,Medium Risk
P0681,T063,176,54,14,2,26,8,68,90,77,28,47,4,High Risk
MR0474,T005,202,9,6,2,11,1,67,58,54,76,53,2,Medium Risk
P0264,T046,245,7,21,4,13,1,74,37,69,89,24,7,High Risk
LR0429,T034,214,42,1,0,3,0,94,99,98,94,85,0,Low Risk
MR0350,T087,93,13,4,5,16,3,76,66,50,68,80,4,Medium Risk
LR0242,T039,294,22,1,1,1,1,87,81,93,100,86,0,Low Risk
P0765,T023,460,10,9,13,31,1,27,81,54,74,45,1,High Risk
P0057,T077,14,3,0,3,4,0,70,66,51,61,87,9,Low Risk
LR0785,T074,499,27,0,0,6,1,92,96,82,81,90,1,Low Risk
P0683,T038,41,20,10,9,5,4,45,67,31,92,42,1,Medium Risk
P1294,T017,377,21,10,8,2,7,71,34,96,93,28,8,High Risk
LR0186,T017,384,57,0,1,0,1,90,94,87,98,99,0,Low Risk
