run,seed,method,technical_deficit,skill_redundancy_total,skill_redundancy_avg,academic_imbalance,diversity,technical_feasibility,runtime_ms,pareto_front_size
17,58,Greedy,6.5,2.090060380160948,0.6966867933869826,1.4020886081909538,0.5694444444444443,84.54861111111111,0.41639991104602814,
17,58,NSGA-II,6.5,1.9906730169074118,0.6635576723024706,0.041948407113118764,0.625,84.5486111111111,462.17630011960864,42.0
18,59,Random,11.25,1.7452926120722863,0.5817642040240955,1.3433859739127205,0.5833333333333334,73.95833333333333,0.034999800845980644,
18,59,Greedy,11.0,1.765697526812926,0.5885658422709753,0.6842900446040909,0.5138888888888888,76.04166666666667,0.5285998340696096,
18,59,NSGA-II,9.75,1.6360344700668468,0.5453448233556156,0.7950623977645188,0.625,79.51388888888889,510.70789992809296,58.0
19,60,Random,10.0,1.989610107207046,0.6632033690690154,1.0123135327430646,0.5416666666666666,77.25694444444444,0.024399952962994576,
19,60,Greedy,9.5,2.0399271459084583,0.6799757153028193,2.188290583821678,0.5833333333333334,79.34027777777779,0.36940001882612705,
19,60,NSGA-II,9.5,1.8675855751054349,0.622528525035145,0.004805037716020403,0.625,79.34027777777777,458.3882000297308,52.0
20,61,Random,5.5,2.0489579754808718,0.6829859918269573,1.0587456497974523,0.5555555555555555,88.02083333333333,0.029200222343206406,
20,61,Greedy,4.75,2.06465015186756,0.6882167172891868,1.7186983895009893,0.5138888888888888,90.10416666666667,0.32909982837736607,
20,61,NSGA-II,4.75,1.9823297130302875,0.6607765710100959,1.8005667530222935,0.5972222222222222,89.93055555555554,525.8108999114484,72.0
21,62,Random,4.75,2.159888778408183,0.7199629261360609,1.9957490149032917,0.49999999999999994,90.10416666666667,0.02450007013976574,
21,62,Greedy,4.75,2.1214264472610114,0.7071421490870038,1.0644229772812348,0.5694444444444445,90.10416666666667,0.44439989142119884,
21,62,NSGA-II,4.75,2.097378887461139,0.6991262958203798,0.08742451364196313,0.625,90.10416666666667,474.66780012473464,69.0
22,63,Random,5.75,1.94228786039332,0.6474292867977733,0.1421824849112454,0.5555555555555555,87.5,0.025900080800056458,
22,63,Greedy,6.0,1.9843980259281258,0.6614660086427085,0.36620885049039015,0.5555555555555555,86.80555555555554,0.38659991696476936,
22,63,NSGA-II,5.5,1.8137303707105996,0.6045767902368665,0.3261042086057084,0.5972222222222222,88.19444444444444,489.0366999898106,45.0
23,64,Random,5.75,1.963996433994962,0.6546654779983206,0.356811282846037,0.5972222222222223,88.02083333333333,0.033800024539232254,
23,64,Greedy,5.75,1.940382792995586,0.6467942643318619,1.2520425657338718,0.5833333333333333,88.02083333333333,0.3850001376122236,
23,64,NSGA-II,5.75,1.8938776760669964,0.6312925586889988,0.5600336441980794,0.625,88.02083333333333,500.4012999124825,85.0
24,65,Random,7.75,2.0374513779538868,0.6791504593179623,0.9238381944247117,0.5833333333333334,82.11805555555556,0.024899840354919434,
24,65,Greedy,7.25,2.089231313289323,0.6964104377631077,0.04943576740839086,0.5138888888888888,83.33333333333333,0.33849989995360374,
24,65,NSGA-II,7.25,2.0199694539978417,0.6733231513326139,0.17792267491697403,0.5972222222222223,83.33333333333333,442.54720001481473,49.0
25,66,Random,7.0,2.0057678600395366,0.6685892866798455,0.26449847392177617,0.611111111111111,85.24305555555556,0.03700004890561104,
25,66,Greedy,6.5,1.904502867931452,0.634834289310484,1.7222290950163976,0.5972222222222223,86.28472222222221,0.4734999965876341,
25,66,NSGA-II,6.25,1.8758172436352731,0.6252724145450911,0.4442177389252417,0.6666666666666666,86.97916666666667,513.2899999152869,89.0
26,67,Random,7.25,1.9969021065526804,0.6656340355175602,1.7814908774770528,0.6111111111111112,84.72222222222221,0.022200169041752815,
26,67,Greedy,7.75,1.9541381201851853,0.6513793733950618,0.3656533889457528,0.5694444444444445,83.33333333333333,0.3899000585079193,
26,67,NSGA-II,7.0,1.8097586085952473,0.6032528695317491,0.020627760493476265,0.6111111111111112,85.41666666666667,452.21620006486773,30.0
27,68,Random,5.0,2.075586078873612,0.691862026291204,0.9565009459749693,0.625,89.0625,0.025399960577487946,
27,68,Greedy,4.75,2.1787030926649864,0.7262343642216623,0.9475974443208139,0.5416666666666666,89.75694444444446,0.3426999319344759,
27,68,NSGA-II,4.25,2.072032990276888,0.6906776634256294,0.5985231682136347,0.6666666666666666,91.14583333333333,508.2034000661224,79.0
28,69,Random,5.25,2.006359222783494,0.668786407594498,1.6045586170859878,0.5416666666666666,88.71527777777779,0.02229982055723667,
28,69,Greedy,6.0,2.003584986098033,0.6678616620326777,2.27942099230212,0.5555555555555556,86.97916666666667,0.3825000021606684,
28,69,NSGA-II,4.75,1.9195723162080731,0.6398574387360244,0.17770674035354103,0.611111111111111,90.10416666666667,486.54750012792647,83.0
29,70,Random,6.75,1.965538604896396,0.6551795349654653,0.7859164305757278,0.5972222222222222,84.89583333333333,0.02450007013976574,
29,70,Greedy,6.75,1.939903602867333,0.646634534289111,3.3538646497189704,0.513888888888889,85.41666666666667,0.36029983311891556,
29,70,NSGA-II,6.0,1.8412600429063257,0.6137533476354419,0.10347788707278799,0.5972222222222222,87.5,508.1793998833746,66.0
30,71,Random,10.25,1.902772931209591,0.6342576437365303,1.9434383051193436,0.5694444444444445,78.64583333333333,0.03169989213347435,
30,71,Greedy,10.5,1.9048190376702743,0.6349396792234248,2.5690325609727247,0.5555555555555555,77.95138888888889,0.3114000428467989,
30,71,NSGA-II,10.25,1.8024864969256003,0.6008288323085335,0.4171906296493641,0.625,78.64583333333333,478.37409982457757,52.0
